PassengerId,Sex,Pclass,Age,SibSp,Parch,Fare,Embarked
892,1,3,34.5,0,0,7.8292,1
893,0,3,47,1,0,7,2
894,1,2,62,0,0,9.6875,1
895,1,3,27,0,0,8.6625,2
896,0,3,22,1,1,12.2875,2
897,1,3,14,0,0,9.225,2
898,0,3,30,0,0,7.6292,1
899,1,2,26,1,1,29,2
900,0,3,18,0,0,7.2292,0
901,1,3,21,2,0,24.15,2
903,1,1,46,0,0,26,2
904,0,1,23,1,0,82.2667,2
905,1,2,63,1,0,26,2
906,0,1,47,1,0,61.175,2
907,0,2,24,1,0,27.7208,0
908,1,2,35,0,0,12.35,1
909,1,3,21,0,0,7.225,0
910,0,3,27,1,0,7.925,2
911,0,3,45,0,0,7.225,0
912,1,1,55,1,0,59.4,0
913,1,3,9,0,1,3.1708,2
915,1,1,21,0,1,61.3792,0
916,0,1,48,1,3,262.375,0
917,1,3,50,1,0,14.5,2
918,0,1,22,0,1,61.9792,0
919,1,3,22.5,0,0,7.225,0
920,1,1,41,0,0,30.5,2
922,1,2,50,1,0,26,2
923,1,2,24,2,0,31.5,2
924,0,3,33,1,2,20.575,2
926,1,1,30,1,0,57.75,0
927,1,3,18.5,0,0,7.2292,0
929,0,3,21,0,0,8.6625,2
930,1,3,25,0,0,9.5,2
932,1,3,39,0,1,13.4167,0
934,1,3,41,0,0,7.85,2
935,0,2,30,0,0,13,2
936,0,1,45,1,0,52.5542,2
937,1,3,25,0,0,7.925,2
938,1,1,45,0,0,29.7,0
940,0,1,60,0,0,76.2917,0
941,0,3,36,0,2,15.9,2
942,1,1,24,1,0,60,2
943,1,2,27,0,0,15.0333,0
944,0,2,20,2,1,23,2
945,0,1,28,3,2,263,2
947,1,3,10,4,1,29.125,1
948,1,3,35,0,0,7.8958,2
949,1,3,25,0,0,7.65,2
951,0,1,36,0,0,262.375,0
952,1,3,17,0,0,7.8958,2
953,1,2,32,0,0,13.5,2
954,1,3,18,0,0,7.75,2
955,0,3,22,0,0,7.725,1
956,1,1,13,2,2,262.375,0
958,0,3,18,0,0,7.8792,1
959,1,1,47,0,0,42.4,2
960,1,1,31,0,0,28.5375,0
961,0,1,60,1,4,263,2
962,0,3,24,0,0,7.75,1
963,1,3,21,0,0,7.8958,2
964,0,3,29,0,0,7.925,2
965,1,1,28.5,0,0,27.7208,0
966,0,1,35,0,0,211.5,0
967,1,1,32.5,0,0,211.5,0
969,0,1,55,2,0,25.7,2
970,1,2,30,0,0,13,2
971,0,3,24,0,0,7.75,1
972,1,3,6,1,1,15.2458,0
973,1,1,67,1,0,221.7792,2
974,1,1,49,0,0,26,2
978,0,3,27,0,0,7.8792,1
979,0,3,18,0,0,8.05,2
981,1,2,2,1,1,23,2
982,0,3,22,1,0,13.9,2
984,0,1,27,1,2,52,2
986,1,1,25,0,0,26,0
987,1,3,25,0,0,7.7958,2
988,0,1,76,1,0,78.85,2
989,1,3,29,0,0,7.925,2
990,0,3,20,0,0,7.8542,2
991,1,3,33,0,0,8.05,2
992,0,1,43,1,0,55.4417,0
993,1,2,27,1,0,26,2
995,1,3,26,0,0,7.775,2
996,0,3,16,1,1,8.5167,0
997,1,3,28,0,0,22.525,2
998,1,3,21,0,0,7.8208,1
1001,1,2,18.5,0,0,13,2
1002,1,2,41,0,0,15.0458,0
1004,0,1,36,0,0,31.6792,0
1005,0,3,18.5,0,0,7.2833,1
1006,0,1,63,1,0,221.7792,2
1007,1,3,18,1,0,14.4542,0
1009,0,3,1,1,1,16.7,2
1010,1,1,36,0,0,75.2417,0
1011,0,2,29,1,0,26,2
1012,0,2,12,0,0,15.75,2
1014,0,1,35,1,0,57.75,0
1015,1,3,28,0,0,7.25,2
1017,0,3,17,0,1,16.1,2
1018,1,3,22,0,0,7.7958,2
1020,1,2,42,0,0,13,2
1021,1,3,24,0,0,8.05,2
1022,1,3,32,0,0,8.05,2
1023,1,1,53,0,0,28.5,0
1026,1,3,43,0,0,7.8958,2
1027,1,3,24,0,0,7.8542,2
1028,1,3,26.5,0,0,7.225,0
1029,1,2,26,0,0,13,2
1030,0,3,23,0,0,8.05,2
1031,1,3,40,1,6,46.9,2
1032,0,3,10,5,2,46.9,2
1033,0,1,33,0,0,151.55,2
1034,1,1,61,1,3,262.375,0
1035,1,2,28,0,0,26,2
1036,1,1,42,0,0,26.55,2
1037,1,3,31,3,0,18,2
1039,1,3,22,0,0,8.05,2
1041,1,2,30,1,1,26,2
1042,0,1,23,0,1,83.1583,0
1045,0,3,36,0,2,12.1833,2
1046,1,3,13,4,2,31.3875,2
1047,1,3,24,0,0,7.55,2
1048,0,1,29,0,0,221.7792,2
1049,0,3,23,0,0,7.8542,2
1050,1,1,42,0,0,26.55,2
1051,0,3,26,0,2,13.775,2
1053,1,3,7,1,1,15.2458,0
1054,0,2,26,0,0,13.5,2
1056,1,2,41,0,0,13,2
1057,0,3,26,1,1,22.025,2
1058,1,1,48,0,0,50.4958,0
1059,1,3,18,2,2,34.375,2
1061,0,3,22,0,0,8.9625,2
1063,1,3,27,0,0,7.225,0
1064,1,3,23,1,0,13.9,2
1066,1,3,40,1,5,31.3875,2
1067,0,2,15,0,2,39,2
1068,0,2,20,0,0,36.75,2
1069,1,1,54,1,0,55.4417,0
1070,0,2,36,0,3,39,2
1071,0,1,64,0,2,83.1583,0
1072,1,2,30,0,0,13,2
1073,1,1,37,1,1,83.1583,0
1074,0,1,18,1,0,53.1,2
1076,0,1,27,1,1,247.5208,0
1077,1,2,40,0,0,16,2
1078,0,2,21,0,1,21,2
1079,1,3,17,2,0,8.05,2
1081,1,2,40,0,0,13,2
1082,1,2,34,1,0,26,2
1084,1,3,11.5,1,1,14.5,2
1085,1,2,61,0,0,12.35,1
1086,1,2,8,0,2,32.5,2
1087,1,3,33,0,0,7.8542,2
1088,1,1,6,0,2,134.5,0
1089,0,3,18,0,0,7.775,2
1090,1,2,23,0,0,10.5,2
1093,1,3,0.33,0,2,14.4,2
1094,1,1,47,1,0,227.525,0
1095,0,2,8,1,1,26,2
1096,1,2,25,0,0,10.5,2
1098,0,3,35,0,0,7.75,1
1099,1,2,24,0,0,10.5,2
1100,0,1,33,0,0,27.7208,0
1101,1,3,25,0,0,7.8958,2
1102,1,3,32,0,0,22.525,2
1104,1,2,17,0,0,73.5,2
1105,0,2,60,1,0,26,2
1106,0,3,38,4,2,7.775,2
1107,1,1,42,0,0,42.5,2
1109,1,1,57,1,1,164.8667,2
1110,0,1,50,1,1,211.5,0
1112,0,2,30,1,0,13.8583,0
1113,1,3,21,0,0,8.05,2
1114,0,2,22,0,0,10.5,2
1115,1,3,21,0,0,7.7958,2
1116,0,1,53,0,0,27.4458,0
1118,1,3,23,0,0,7.7958,2
1120,1,3,40.5,0,0,15.1,2
1121,1,2,36,0,0,13,2
1122,1,2,14,0,0,65,2
1123,0,1,21,0,0,26.55,2
1124,1,3,21,1,0,6.4958,2
1126,1,1,39,1,0,71.2833,0
1127,1,3,20,0,0,7.8542,2
1128,1,1,64,1,0,75.25,0
1129,1,3,20,0,0,7.225,0
1130,0,2,18,1,1,13,2
1131,0,1,48,1,0,106.425,0
1132,0,1,55,0,0,27.7208,0
1133,0,2,45,0,2,30,2
1134,1,1,45,1,1,134.5,0
1137,1,1,41,1,0,51.8625,2
1138,0,2,22,0,0,21,2
1139,1,2,42,1,1,32.5,2
1140,0,2,29,1,0,26,2
1142,0,2,0.92,1,2,27.75,2
1143,1,3,20,0,0,7.925,2
1144,1,1,27,1,0,136.7792,0
1145,1,3,24,0,0,9.325,2
1146,1,3,32.5,0,0,9.5,2
1149,1,3,28,0,0,8.05,2
1150,0,2,19,0,0,13,2
1151,1,3,21,0,0,7.775,2
1152,1,3,36.5,1,0,17.4,2
1153,1,3,21,0,0,7.8542,2
1154,0,2,29,0,2,23,2
1155,0,3,1,1,1,12.1833,2
1156,1,2,30,0,0,12.7375,0
1161,3,1,17,0,0,8.6625,2
1162,1,1,46,0,0,75.2417,0
1164,1,0,26,1,0,136.7792,0
1167,2,0,20,1,0,26,2
1168,2,1,28,0,0,10.5,2
1169,2,1,40,1,0,26,2
1170,2,1,30,1,0,21,2
1171,2,1,22,0,0,10.5,2
1172,3,0,23,0,0,8.6625,2
1173,3,1,0.75,1,1,13.775,2
1175,3,0,9,1,1,15.2458,0
1176,3,0,2,1,1,20.2125,2
1177,3,1,36,0,0,7.25,2
1179,1,1,24,1,0,82.2667,2
1183,3,0,30,0,0,6.95,1
1185,1,1,53,1,1,81.8583,2
1186,3,1,36,0,0,9.5,2
1187,3,1,26,0,0,7.8958,2
1188,2,0,1,1,2,41.5792,0
1190,1,1,30,0,0,45.5,2
1191,3,1,29,0,0,7.8542,2
1192,3,1,32,0,0,7.775,2
1194,2,1,43,0,1,21,2
1195,3,1,24,0,0,8.6625,2
1197,1,0,64,1,1,26.55,2
1198,1,1,30,1,2,151.55,2
1199,3,1,0.83,0,1,9.35,2
1200,1,1,55,1,1,93.5,2
1201,3,0,45,1,0,14.1083,2
1202,3,1,18,0,0,8.6625,2
1203,3,1,22,0,0,7.225,0
1205,3,0,37,0,0,7.75,1
1206,1,0,55,0,0,135.6333,0
1207,3,0,17,0,0,7.7333,1
1208,1,1,57,1,0,146.5208,0
1209,2,1,19,0,0,10.5,2
1210,3,1,27,0,0,7.8542,2
1211,2,1,22,2,0,31.5,2
1212,3,1,26,0,0,7.775,2
1213,3,1,25,0,0,7.2292,0
1214,2,1,26,0,0,13,2
1215,1,1,33,0,0,26.55,2
1216,1,0,39,0,0,211.3375,2
1217,3,1,23,0,0,7.05,2
1218,2,0,12,2,1,39,2
1219,1,1,46,0,0,79.2,0
1220,2,1,29,1,0,26,2
1221,2,1,21,0,0,13,2
1222,2,0,48,0,2,36.75,2
1223,1,1,39,0,0,29.7,0
1225,3,0,19,1,1,15.7417,0
1226,3,1,27,0,0,7.8958,2
1227,1,1,30,0,0,26,2
1228,2,1,32,0,0,13,2
1229,3,1,39,0,2,7.2292,0
1230,2,1,25,0,0,31.5,2
1232,2,1,18,0,0,10.5,2
1233,3,1,32,0,0,7.5792,2
1235,1,0,58,0,1,512.3292,0
1237,3,0,16,0,0,7.65,2
1238,2,1,26,0,0,13,2
1239,3,0,38,0,0,7.2292,0
1240,2,1,24,0,0,13.5,2
1241,2,0,31,0,0,21,2
1242,1,0,45,0,1,63.3583,0
1243,2,1,25,0,0,10.5,2
1244,2,1,18,0,0,73.5,2
1245,2,1,49,1,2,65,2
1246,3,0,0.17,1,2,20.575,2
1247,1,1,50,0,0,26,2
1248,1,0,59,2,0,51.4792,2
1251,3,0,30,1,0,15.55,2
1252,3,1,14.5,8,2,69.55,2
1253,2,0,24,1,1,37.0042,0
1254,2,0,31,0,0,21,2
1255,3,1,27,0,0,8.6625,2
1256,1,0,25,1,0,55.4417,0
1259,3,0,22,0,0,39.6875,2
1260,1,0,45,0,1,59.4,0
1261,2,1,29,0,0,13.8583,0
1262,2,1,21,1,0,11.5,2
1263,1,0,31,0,0,134.5,0
1264,1,1,49,0,0,0,2
1265,2,1,44,0,0,13,2
1266,1,0,54,1,1,81.8583,2
1267,1,0,45,0,0,262.375,0
1268,3,0,22,2,0,8.6625,2
1269,2,1,21,0,0,11.5,2
1270,1,1,55,0,0,50,2
1271,3,1,5,4,2,31.3875,2
1273,3,1,26,0,0,7.8792,1
1275,3,0,19,1,0,16.1,2
1277,2,0,24,1,2,65,2
1278,3,1,24,0,0,7.775,2
1279,2,1,57,0,0,13,2
1280,3,1,21,0,0,7.75,1
1281,3,1,6,3,1,21.075,2
1282,1,1,23,0,0,93.5,2
1283,1,0,51,0,1,39.4,2
1284,3,1,13,0,2,20.25,2
1285,2,1,47,0,0,10.5,2
1286,3,1,29,3,1,22.025,2
1287,1,0,18,1,0,60,2
1288,3,1,24,0,0,7.25,1
1289,1,0,48,1,1,79.2,0
1290,3,1,22,0,0,7.775,2
1291,3,1,31,0,0,7.7333,1
1292,1,0,30,0,0,164.8667,2
1293,2,1,38,1,0,21,2
1294,1,0,22,0,1,59.4,0
1295,1,1,17,0,0,47.1,2
1296,1,1,43,1,0,27.7208,0
1297,2,1,20,0,0,13.8625,0
1298,2,1,23,1,0,10.5,2
1299,1,1,50,1,1,211.5,0
1301,3,0,3,1,1,13.775,2
1303,1,0,37,1,0,90,1
1304,3,0,28,0,0,7.775,2
1306,1,0,39,0,0,108.9,0
1307,3,1,38.5,0,0,7.25,2